pid,nome,squadra,ruolo,ruolo_mantra,pfc,pma,pfc_range,pma_range,pfc_lo,pfc_hi,pma_lo,pma_hi,unc_pfc,dpfcpma,slot,tit,expfm,fascia,status,pen_prob,fk_prob,tix,fix,fix_contrib
63ba8d9055a9a9c9,MALEN,Roma,A,Pc,205.4,205.15,185-226,194-217,185.0,226.0,194.0,217.0,20.5,0.0,1,92.0,7.57,Top,T,20.0,0.0,94.3,99.4,1.444
f795570f77b63352,MARTINEZ L.,Inter,A,Pc,192.3,175.25,174-212,167-185,174.0,212.0,167.0,185.0,19.0,17.0,1,92.0,7.53,Top,T,10.0,0.0,94.3,98.3,1.408
2749f13992bb5f41,RAMOS G.,Milan,A,Pc,155.4,144.9,140-171,136-155,140.0,171.0,136.0,155.0,15.5,10.0,1,92.0,7.29,Top,T,70.0,0.0,94.3,97.1,1.187
98596b7419b9d23c,HOJLUND,Napoli,A,Pc,146.15,128.14999999999998,132-161,120-138,132.0,161.0,120.0,138.0,14.5,18.0,1,92.0,7.25,Top,T,20.0,0.0,94.3,96.0,1.15
1dc1d257d05e8a8b,THURAM,Inter,A,Pc,136.65,108.35000000000001,123-151,99-118,123.0,151.0,99.0,118.0,14.0,29.0,1,90.0,7.27,Semi-Top,T,0.0,0.0,84.5,94.8,1.143
c0da180de8d2491d,KOLO MUANI,Juventus,A,Pc,123.25,101.05,111-136,91-112,111.0,136.0,91.0,112.0,12.5,22.0,1,90.0,7.21,Semi-Top,B,70.0,0.0,84.5,93.7,1.089
d2f07afe6d02f2b5,KEAN,Como,A,Pc,101.7,87.5,92-112,79-97,92.0,112.0,79.0,97.0,10.0,14.0,1,84.0,7.22,Semi-Top,B,20.0,0.0,56.3,92.5,1.025
994ffda740b64876,SCAMACCA,Atalanta,A,Pc,80.44999999999999,58.35,69-93,52-65,69.0,93.0,52.0,65.0,12.0,22.0,1,86.0,7.06,Semi-Top,B,20.0,0.0,65.5,91.4,0.912
2ee4f1f2f41bacd0,DOUVIKAS,Como,A,Pc,77.10000000000001,60.1,66-89,54-67,66.0,89.0,54.0,67.0,11.5,17.0,1,88.0,7.01,Semi-Top,B,10.0,0.0,75.3,90.2,0.889
deb805a7fbaf962e,DAVIS K.,Udinese,A,Pc,75.14999999999999,44.949999999999996,64-87,41-50,64.0,87.0,41.0,50.0,11.5,30.0,1,92.0,6.94,Semi-Top,T,70.0,0.0,94.3,87.9,0.865
b281859d81906ba7,DYBALA,Roma,A,A,69.65,64.0,60-81,58-71,60.0,81.0,58.0,71.0,10.5,6.0,2,86.0,7.01,Semi-Top,T,70.0,70.0,65.5,89.1,0.869
fef366aa1d7673d8,WOLTEMADE,Juventus,A,A,63.8,61.699999999999996,55-74,54-71,55.0,74.0,54.0,71.0,9.5,2.0,2,86.0,6.97,Semi-Top,B,20.0,0.0,65.5,85.6,0.834
d836cbfcdce9d24a,ESPOSITO F.P.,Inter,A,Pc,61.3,57.65,53-71,51-65,53.0,71.0,51.0,65.0,9.0,3.0,2,82.0,7.04,Semi-Top,P,0.0,0.0,47.1,86.8,0.853
ca9a88eb24b4ce32,SIMEONE,Torino,A,Pc,59.45,32.9,51-69,29-38,51.0,69.0,29.0,38.0,9.0,26.0,2,90.0,6.9,Semi-Top,T,20.0,0.0,84.5,83.3,0.81
de297bc473c7cb6d,KRSTOVIC,Atalanta,A,Pc,57.2,37.1,49-66,33-42,49.0,66.0,33.0,42.0,8.5,20.0,2,84.0,6.99,Semi-Top,B,10.0,0.0,56.3,84.5,0.832
cf2672bfe74c7fd5,BERARDI,Sassuolo,A,A,55.800000000000004,42.3,48-65,38-48,48.0,65.0,38.0,48.0,8.5,14.0,2,88.0,6.91,OttimoTit,T,70.0,70.0,75.3,82.2,0.801
4e850509bcd939e7,PINAMONTI,Lazio,A,Pc,47.6,32.9,41-55,29-38,41.0,55.0,29.0,38.0,7.0,15.0,2,86.0,6.86,OttimoTit,T,10.0,0.0,65.5,79.9,0.74
d6e685584c902697,YILDIZ,Juventus,A,A,44.650000000000006,40.800000000000004,36-54,35-48,36.0,54.0,35.0,48.0,9.0,4.0,2,69.0,7.16,Riserva,T,0.0,70.0,27.0,81.0,0.8
52ed625b809c4967,DE KETELAERE,Atalanta,A,A,40.2,35.25,33-49,31-40,33.0,49.0,31.0,40.0,8.0,5.0,2,90.0,6.74,OttimoTit,T,0.0,0.0,84.5,76.4,0.666
9800a4d427ebc34a,BETO,Fiorentina,A,Pc,38.9,27.45,32-47,24-32,32.0,47.0,24.0,32.0,7.5,12.0,2,88.0,6.76,OttimoTit,B,10.0,0.0,75.3,77.6,0.669
e6bff3627d8264d5,COLOMBO,Genoa,A,Pc,36.3,13.25,30-44,12-16,30.0,44.0,12.0,16.0,7.0,23.0,3,92.0,6.69,OttimoTit,T,70.0,0.0,94.3,71.8,0.635
539be7e3072f0833,SANTOS A.,Napoli,A,W;A,35.0,34.5,28-42,29-41,28.0,42.0,29.0,41.0,7.0,0.0,3,88.0,6.74,OttimoTit,B,0.0,0.0,75.3,74.1,0.651
76f4639a60729e2f,LAURIENTÈ,Sassuolo,A,A,34.3,23.650000000000002,28-42,21-28,28.0,42.0,21.0,28.0,7.0,10.0,3,90.0,6.71,OttimoTit,T,10.0,20.0,84.5,73.0,0.639
34420b772a0278c3,DOVBYK,Bologna,A,Pc,33.45,17.1,27-41,14-21,27.0,41.0,14.0,21.0,7.0,16.0,3,83.0,6.8,OttimoTit,B,20.0,0.0,50.0,75.3,0.664
